# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.483804244548082352e-03 5.816577076911926270e-01 3.164899302646517754e-03 2.472243038937449455e-03 5.683715939521789551e-01 3.137576859444379807e-03
1.000000000000000000e+03 3.850772554869763553e-05 2.824507828336209059e-04 5.714671715395525098e-05 2.702319216041360050e-05 1.573844929225742817e-04 5.166870323591865599e-05
2.000000000000000000e+03 8.964444532466586679e-06 6.027426570653915405e-05 6.289696102612651885e-06 7.515259767387760803e-06 3.468448267085477710e-05 4.108544999326113611e-06
3.000000000000000000e+03 7.378886039077769965e-06 2.231859616586007178e-05 2.730708956732996739e-06 6.156432846182724461e-06 1.384931783832143992e-05 1.715902271826053038e-06
4.000000000000000000e+03 4.924801942252088338e-06 1.061363309418084100e-05 1.338253241556230932e-06 4.083574367541586980e-06 6.934317752893548459e-06 8.506357858095725533e-07
5.000000000000000000e+03 2.889077904910664074e-06 5.470905307447537780e-06 8.710741781214892399e-07 2.331221821805229411e-06 3.619011977207264863e-06 5.997003427182789892e-07
6.000000000000000000e+03 1.598813810232968535e-06 3.062647238039062358e-06 7.298743298633780796e-07 1.225347773470275570e-06 1.993817249967833050e-06 5.407168259807804134e-07
7.000000000000000000e+03 9.085602528102754150e-07 1.737344518915051594e-06 5.410801691141386982e-07 6.568914727722585667e-07 1.087807618205260951e-06 4.026810529467184097e-07
8.000000000000000000e+03 5.325837832970137242e-07 9.651409982325276360e-07 3.457936088580026990e-07 3.594961697217513574e-07 5.626575898531882558e-07 2.460052996866579633e-07
9.000000000000000000e+03 3.283717546764819417e-07 5.348848617359180935e-07 2.101633498341470840e-07 2.040774091938146739e-07 2.816133530814113328e-07 1.397914246581422049e-07
1.000000000000000000e+04 2.198576822820541565e-07 3.125017826732801041e-07 1.235611364336364204e-07 1.294655191941274097e-07 1.514782184131036047e-07 7.645443389492356800e-08
1.100000000000000000e+04 1.485131093659219914e-07 2.077109684250899591e-07 7.661277123816034873e-08 8.572916243565487093e-08 9.854748128645951510e-08 4.579802137527622108e-08
1.200000000000000000e+04 9.208941520455482532e-08 1.433784149185157730e-07 4.665281139182297920e-08 5.254834078982639767e-08 6.717179701354325516e-08 2.770982732158699946e-08
1.300000000000000000e+04 5.135382608045802044e-08 1.016920876395488449e-07 2.963578893400153902e-08 2.905658647023301455e-08 4.914224405183631461e-08 1.785571868140323204e-08
1.400000000000000000e+04 2.702769741347310628e-08 7.811754443309837370e-08 2.092854067825555830e-08 1.534361615540547064e-08 3.826565730946640542e-08 1.274963778996607289e-08
1.500000000000000000e+04 1.550995243349007069e-08 1.148225805991387460e-06 1.764267310022660240e-08 9.859867589057103032e-09 1.087200189431314357e-06 1.039834085503343886e-08
1.600000000000000000e+04 9.724963057067270711e-09 5.812942305283286260e-08 1.382511438663414083e-08 5.624922305713653259e-09 2.857254699506484030e-08 8.187328148778760806e-09
1.700000000000000000e+04 7.350593911326086527e-09 5.387612134200026048e-08 1.224233603380753266e-08 4.203561498883345848e-09 2.639453633435095981e-08 7.097304077774424513e-09
1.800000000000000000e+04 6.024012844108028730e-09 5.203733977054980642e-08 1.107288571944309297e-08 3.410119076008299999e-09 2.509536578543247742e-08 6.373670036197154332e-09
1.900000000000000000e+04 5.297954075444977207e-09 4.835882805309665855e-08 9.692881164369282487e-09 2.967234236095350752e-09 2.326318160328355589e-08 5.439173555998877418e-09
2.000000000000000000e+04 4.688931021235021035e-09 4.639584361143533897e-08 9.025512781590805389e-09 2.602298376785938672e-09 2.217229599921211047e-08 5.020173610148503940e-09
2.100000000000000000e+04 4.229256056476060621e-09 4.453274371485349548e-08 8.499881687384913675e-09 2.314335612041418244e-09 2.116919795014382544e-08 4.719982182876947263e-09
2.200000000000000000e+04 3.901929002125825718e-09 4.292021316132377251e-08 7.779386024253653886e-09 2.161369749842378951e-09 2.017975653245684953e-08 4.311438317472493509e-09
